,active,address,address_line_2,city,county,createdate,dayphone,license,organization,state,type,ubi,zip
0,ACTIVE (ISSUED),7903 BEAVER VALLEY RD STE A,,CHIMACUM,JEFFERSON,20171229,2253299486,416694,BEAUSOLEIL,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033541680010000,983250000
1,ACTIVE (ISSUED),250 W AXTON RD,,BELLINGHAM,WHATCOM,20171104,3609666785,413650,'OH' MCDONALD FARMS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034429790010000,982267315
2,ACTIVE (ISSUED),1703 SE SEDGWICK RD,STE 113,PORT ORCHARD,KITSAP,20171114,2533127280,415229,POT ZONE,WA,MARIJUANA RETAILER,6033538680010000,983669599
3,ACTIVE (ISSUED),1206 N DOLARWAY RD STE 116,,ELLENSBURG,KITTITAS,20171115,2064095228,425431,BEST BUDS MARKETING AND DISTRIBUTION,WA,MARIJUANA TRANSPORTATION,6041333310010000,989268392
4,ACTIVE (ISSUED),12815 227TH AVE SE  STE A,STE A,MONROE,SNOHOMISH,20171130,3608058855,412437,RED FROG,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033472750010000,982728720
5,PENDING (ISSUED),6009 N JULIA ST,,SPOKANE,SPOKANE,20180306,5093895558,412050,BULLDOG WEED,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034300560010000,992176584
6,ACTIVE (ISSUED),260 MERLOT DR,,PROSSER,BENTON,20171114,5097864200,414225,ALTITUDE,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033570900010000,993500000
7,ACTIVE (ISSUED),3431 AIRPORT RD STE C,,PULLMAN,WHITMAN,20180119,2085965665,417580,INTERSTATE 502,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033571480010000,991636001
8,ACTIVE (ISSUED),7797 ROAD K.5 NE STE B,STE B,MOSES LAKE,GRANT,20180105,4147310189,416880,VERDANT CIRCLE,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033612390010000,988379001
9,ACTIVE (ISSUED),7537 POSTMA RD,STE A,MOXEE,YAKIMA,20171207,5095711065,422627,SATIVA GROUP,WA,MARIJUANA PROCESSOR,6033563190010000,989369806
10,ACTIVE (ISSUED),2916 STATE ST STE 201,,EVERETT,SNOHOMISH,20180124,3525149238,412024,WALDEN CANNABIS,WA,MARIJUANA PROCESSOR,6033585450010000,982013842
11,ACTIVE (ISSUED),7457 S MADISON ST STE C,,TACOMA,PIERCE,20170819,2532099473,425344,RODRIGO MANUEL OCAMPO,WA,MARIJUANA PRODUCER TIER 1,6033521200010000,984091000
12,ACTIVE (ISSUED),26425 S RUPP RD F1,,CHENEY,SPOKANE,20171114,5098791307,416068,FAMILY PLOT,WA,MARIJUANA PRODUCER TIER 2,6033507290010000,990040000
13,ACTIVE (ISSUED),5045 ADAMS RD N,,QUINCY,GRANT,20171229,5092899351,414153,JOHNNY FARMS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033576350010000,988489738
14,ACTIVE (ISSUED),35633 NE 91ST WAY  STE A,STE A,CARNATION,KING,20171229,4253330509,415940,HIGHLAND GARDENS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033589640010000,980146876
15,ACTIVE (ISSUED),1824 RD N NE,UNIT 2,MOSES LAKE,GRANT,20180302,2064273178,416279,MT GREENIER FARMS,WA,MARIJUANA PRODUCER TIER 3,6034734470010000,988379816
16,ACTIVE (ISSUED),13115 WAGON WHEEL BUILDING A,,RAINIER,THURSTON,20180220,3607530486,417715,DEEP ROOTS FOODS,WA,MARIJUANA PROCESSOR,6033507240010000,985769636
17,ACTIVE (ISSUED),600 RONLEE LN NW STE B,STE B,OLYMPIA,THURSTON,20180205,3606886577,423537,OLYMPIA FARM WORKS,WA,MARIJUANA PROCESSOR,6034727930010000,985020000
18,ACTIVE (ISSUED),1728 4TH AVE S,,SEATTLE,KING,20171214,2062236292,414174,DOCKSIDE CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033563140010000,981340000
19,ACTIVE (ISSUED),19400 NE 280TH ST,,BATTLE GROUND,CLARK,20171116,4253286537,412548,WABAGROW LLC,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033461580010000,986048209
20,ACTIVE (ISSUED),12315 MOUNTAIN LOOP HWY STE A,,GRANITE FALLS,SNOHOMISH,20171222,4257449999,412672,GREEN CHIEFS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033569260010000,982520000
21,ACTIVE (ISSUED),2839 NW KITSAP PL STE A,,SILVERDALE,KITSAP,20171023,3606980353,415211,FILLABONG,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035601210010000,983839447
22,ACTIVE (ISSUED),6884 BACON LN NE #A,,MOSES LAKE,GRANT,20171205,5096698166,412973,MAGU CORP,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033490490010000,988378248
23,ACTIVE (ISSUED),17409 119TH ST CT E STE 1,,BONNEY LAKE,PIERCE,20180103,2533183104,416138,RAINIER VALLEY CANNABIS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033576960010000,983918164
24,ACTIVE (ISSUED),13300 SE 30TH ST STE 200,,BELLEVUE,KING,20180118,4254299029,425618,SOLAR JOES,WA,MARIJUANA PROCESSOR,6033512330010000,980050000
25,ACTIVE (ISSUED),19302 BOTHELL EVERETT HWY,,BOTHELL,SNOHOMISH,20180306,4254861111,413683,HERBAL NATION,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6034896600010000,980127113
26,ACTIVE (ISSUED),274 A OTTO ST,,PORT TOWNSEND,JEFFERSON,20171115,3605093481,412856,PURE FUNK,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033417190010000,983689719
27,ACTIVE (ISSUED),1550 W GALLAGHER RD,,SHELTON,MASON,20180125,3604908802,412978,LOST LAKE GARDENS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6041034030010000,985847103
28,ACTIVE (ISSUED),570 WEBB AVE S STE A,,EAST WENATCHEE,DOUGLAS,20180103,5096696462,417301,LADERA FARMS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033592610010000,988029388
29,ACTIVE (ISSUED),420 E MILLWRIGHT RD,,SHELTON,MASON,20180105,3602290552,414145,LAUGHING GRASS MARIJUANA PRODUCTION AND PROCE,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033568170010000,985840000
30,ACTIVE (ISSUED),1874 BATUM RD N  STE 600,STE 600,ODESSA,ADAMS,20171016,2087901869,416061,QUALITY GENETICS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033599670010000,991590000
31,ACTIVE (ISSUED),13055 ROAD 2 NE UNIT 3,UNIT 3,MOSES LAKE,GRANT,20171214,2164961549,417081,GREEN ISLAND ORGANICS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033577950010000,988379468
32,ACTIVE (ISSUED),5200 172ND ST NE F-101,,ARLINGTON,SNOHOMISH,20171228,4253432272,421084,PRC,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033210770010000,982234703
33,ACTIVE (ISSUED),190 W PINE ACRES WAY,,SHELTON,MASON,20180111,2538840562,413665,ROOTWORX,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034295410010000,985848965
34,ACTIVE (ISSUED),1824 BROADWAY,,EVERETT,SNOHOMISH,20180108,2063071651,414430,HIGH SOCIETY,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033510330010000,982012349
35,ACTIVE (ISSUED),420 ALASKAN WAY,,CHEHALIS,LEWIS,20170914,2539885020,417192,LOADED SODA,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6032791410010000,985320000
36,ACTIVE (ISSUED),145 S HORTON ST,,SEATTLE,KING,20171122,2062012699,412723,BOTANICA SEATTLE,WA,MARIJUANA PROCESSOR,6033503130010000,981340000
37,ACTIVE (ISSUED),13300 SE 30TH STREET #300,,BELLEVUE,KING,20171214,2067699948,416420,LOGIK,WA,MARIJUANA PROCESSOR,6033564640010000,980050000
38,ACTIVE (ISSUED),3895 MALAGA AVE,,MALAGA,CHELAN,20171205,5096688225,417395,TOLMAN CONSTRUCTION,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033508950010000,988280000
39,ACTIVE (ISSUED),986 E HAMPTON RD STE 3,STE 3,LIND,ADAMS,20170908,2538432880,415744,PRIME TIME VENTURES,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034284890010000,983419725
40,ACTIVE (ISSUED),7810 N MARKET ST STE A,,SPOKANE,SPOKANE,20171116,5095905908,415873,WEEDIES,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033608130010000,992177833
41,ACTIVE (ISSUED),20808 167TH AVE SE STE A,,MONROE,SNOHOMISH,20171005,0,412382,PLANT WERKZ USA,WA,MARIJUANA PRODUCER TIER 3,6040171780010000,982728869
42,ACTIVE (ISSUED),1949 SCOTT RD BLDG B,,RICE,STEVENS,20170922,5097382943,415900,SERENITY CIRCLE,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033593220010000,991679702
43,ACTIVE (ISSUED),8734 120TH AVE NE,,KIRKLAND,KING,20171107,4253188898,414475,EVERGREEN MARKET - KIRKLAND,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035653130010000,980335861
44,ACTIVE (ISSUED),1926 PINE CREEK RD UNIT 6,,TONASKET,OKANOGAN,20170113,2069816757,416040,ADE ORGANICS,WA,MARIJUANA PROCESSOR,6033581180010000,988550000
45,ACTIVE (ISSUED),41305 N GRIFFIN RD,STE E,GRANDVIEW,BENTON,20171121,2063712317,424551,GREENLEAF ENVIRONMENTAL,WA,MARIJUANA PRODUCER TIER 2,6033473870010000,989309688
46,ACTIVE (ISSUED),3929 SPUR RIDGE LANE #1,,BELLINGHAM,WHATCOM,20180220,5092801655,412500,MT BAKER HOMEGROWN,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033495850010000,982261234
